index,X_img,Y_img,latitude,longitude
TOWER,115155,22822,-22.86759096033433,-43.342112372903266
TOWER,116440,25521,-22.876948188332953,-43.33358989042394
TOWER,116420,25583,-22.876858430750232,-43.333311641917504
TOWER,108766,29998,-22.89815790512983,-43.3691473568187
TOWER,104657,11852,-22.816886901855472,-43.38775410371668
TOWER,104639,11931,-22.81680612003102,-43.387399561264935
TOWER,104504,11670,-22.81620025634766,-43.38857089771944
TOWER,104426,11702,-22.81585020177505,-43.388427285587085
TOWER,96320,31109,-22.903336917652805,-43.42519647934857
TOWER,130694,35976,-22.92476205264821,-43.270512749167054
TOWER,114884,30994,-22.902277778176703,-43.341340457691864
TOWER,117763,6022,-22.79133291805492,-43.32954631132238
TOWER,68673,23533,-22.86901810589959,-43.54895423440372
TOWER,72663,4628,-22.784601099350873,-43.531473945168884
TOWER,23591,32647,-22.91083616368911,-43.752192328957946
TOWER,129790,35629,-22.924295313218064,-43.27566034653607
TOWER,129715,35643,-22.923958722282862,-43.27559751622817
TOWER,121090,40212,-22.944490769330194,-43.31433240105124
TOWER,81805,36660,-22.927952934713925,-43.490041844985065
TOWER,138205,45797,-22.969241422765396,-43.23720819809858
TOWER,138187,45744,-22.96916064094095,-43.237446055692786
TOWER,138170,45683,-22.969084346995636,-43.23771981632008
TOWER,128746,21981,-22.862165114458872,-43.279466068043426
TOWER,128500,21839,-22.861061096191406,-43.28010334688074
TOWER,128495,21751,-22.861038656795728,-43.280498280244714
TOWER,61967,1413,-22.770706625545728,-43.58001035802504
TOWER,16551,33563,-22.913349376005286,-43.78218931310317
TOWER,105502,30856,-22.903256135828357,-43.38504342471852
TOWER,47962,37479,-22.932247835047104,-43.642544465906475
TOWER,47917,37456,-22.932045880485983,-43.642647687126605
TOWER,134314,46740,-22.973320904900046,-43.25451794792624
TOWER,99768,6600,-22.793150509105008,-43.4095292932847
TOWER,99683,6588,-22.792769039378445,-43.409583147834326
TOWER,94724,30973,-22.90335486916935,-43.43298743752872
TOWER,94757,30973,-22.90350296918084,-43.43298743752872
TOWER,141188,42109,-22.953906339757584,-43.22503706988166
TOWER,83438,30093,-22.89937860825483,-43.483610714183136
TOWER,130083,23975,-22.86996056051815,-43.27231238870059
TOWER,120963,31303,-22.90442747228286,-43.31482157987706
TOWER,9502,2253,-22.77400521671071,-43.81499570958754
TOWER,115946,24316,-22.872936024385343,-43.33720263312845
TOWER,115635,24182,-22.871540293974036,-43.33780400893267
TOWER,116786,14191,-22.82823674819049,-43.33417331471162
TOWER,116754,14233,-22.828093136058136,-43.33398482378791
TOWER,103875,10433,-22.811582228716684,-43.3923272525563
TOWER,95997,35656,-22.925224304199222,-43.4281270644244
TOWER,102154,3591,-22.77872646556181,-43.39790119844324
TOWER,101860,31505,-22.90486279655905,-43.40008230770336
TOWER,101838,31459,-22.90476406321806,-43.40028875014361
TOWER,101805,31421,-22.90461596320657,-43.40045928955078
TOWER,116269,27668,-22.888746822581574,-43.33652047549977
TOWER,23808,32696,-22.910014881807214,-43.750177271225866
TOWER,102833,2790,-22.77459312887753,-43.394315383013556
TOWER,23745,23570,-22.86844365737018,-43.749845168169806
TOWER,27716,8134,-22.800097746007584,-43.73295279110179
TOWER,27645,8181,-22.799779106588925,-43.7327418607824
TOWER,91057,35885,-22.92459600112018,-43.448641159955194
TOWER,96620,33046,-22.91186388801126,-43.42368406407974
TOWER,96640,33076,-22.911953645593982,-43.42354942770565
TOWER,117923,23974,-22.8710376515108,-43.3279665778665
TOWER,131191,23983,-22.87134282729205,-43.268686182358685
TOWER,131144,23980,-22.871131896972656,-43.268699645996094
TOWER,85093,36267,-22.926552716423483,-43.47564921659581
TOWER,85071,36222,-22.926453983082492,-43.47585117115693
TOWER,99177,5379,-22.788703020881204,-43.41321384205538
TOWER,99152,5287,-22.788590823902805,-43.413626726935895
TOWER,99099,5472,-22.788352966308594,-43.41279646929573
TOWER,98504,5534,-22.78747782987707,-43.4143133724437
TOWER,25677,18489,-22.846596661735987,-43.742130503934966
TOWER,111829,33015,-22.911904278923483,-43.3556074254653
TOWER,120545,13059,-22.821769714355472,-43.315916622386254
TOWER,120482,13088,-22.8214869779699,-43.315786473891315
TOWER,134988,28352,-22.890178456025964,-43.25087379006778
TOWER,71640,11777,-22.815913032082953,-43.53529313031365
TOWER,72577,2963,-22.77703453512753,-43.53176565731273
TOWER,90559,29865,-22.89722891414867,-43.45052606919233
TOWER,144819,36735,-22.927118189194626,-43.2060712926528
TOWER,114000,21842,-22.862407459932218,-43.34651049445657
TOWER,77487,36861,-22.930116092457492,-43.510681601131665
TOWER,120388,38451,-22.937749974867877,-43.318645252900964
TOWER,120371,38558,-22.937673680922565,-43.31816504983341
